1,2021-09-01,Wednesday
2,2021-09-07,Tuesday
3,2021-09-13,Monday
4,2021-09-20,Monday
5,2021-09-24,Friday
6,2021-09-30,Thursday
7,2021-10-07,Thursday
8,2021-10-13,Wednesday
9,2021-10-20,Wednesday
10,2021-10-26,Tuesday
11,2021-11-01,Monday
12,2021-11-08,Monday
13,2021-11-12,Friday
14,2021-11-19,Friday
15,2021-11-25,Thursday
16,2021-12-01,Wednesday
17,2021-12-07,Tuesday
18,2021-12-13,Monday
19,2021-12-20,Monday
20,2021-12-24,Friday
21,2021-12-30,Thursday
22,2022-01-06,Thursday
23,2022-01-12,Wednesday
24,2022-01-18,Tuesday
25,2022-01-24,Monday
26,2022-01-28,Friday
27,2022-02-03,Thursday
28,2022-02-09,Wednesday
29,2022-02-16,Wednesday
30,2022-02-22,Tuesday
31,2022-02-28,Monday
32,2022-03-04,Friday
33,2022-03-10,Thursday
34,2022-03-17,Thursday
35,2022-03-23,Wednesday
36,2022-03-29,Tuesday
37,2022-04-04,Monday
38,2022-04-11,Monday
39,2022-04-18,Monday
40,2022-04-22,Friday
41,2022-04-28,Thursday
42,2022-05-04,Wednesday
43,2022-05-11,Wednesday
44,2022-05-17,Tuesday
45,2022-05-23,Monday
46,2022-05-27,Friday
47,2022-06-02,Thursday
48,2022-06-08,Wednesday
49,2022-06-14,Tuesday
50,2022-06-21,Tuesday
51,2022-06-27,Monday
52,2022-07-01,Friday
53,2022-07-08,Friday
54,2022-07-14,Thursday
55,2022-07-21,Thursday
56,2022-07-27,Wednesday
57,2022-08-02,Tuesday
58,2022-08-09,Tuesday
59,2022-08-16,Tuesday
60,2022-08-22,Monday
61,2022-08-26,Friday
62,2022-09-01,Thursday
